,acea,aceb,acek,fabb,fabd,fabg,fabh,fadd,fade,fadh,fadi,fadj,fadr,hipa,hipb,iclr
har_S1_IPTG_r2,12.1745,12.863,8.60445,11.171,9.34711,11.5699,10.1002,8.04357,8.68865,9.10786,8.41246,8.69379,8.65873,8.05374,7.81266,8.03128
har_S1_IPTG_r3,12.143,12.9495,8.31413,11.2592,8.9396,11.3744,9.76032,8.0554,8.58273,8.86425,8.45439,8.55168,8.62518,7.80135,7.59784,7.93835
har_S1_R_noIPTG_r1,13.6987,13.6018,10.0354,10.3124,9.97645,11.3047,10.2843,7.6125,8.90261,8.89495,8.20142,8.67151,9.09752,7.95618,7.41925,8.95106
har_S1_R_noIPTG_r2,13.6989,13.5698,10.2487,10.4717,9.92905,11.6247,10.3214,7.15673,8.7648,8.35525,8.05306,8.35676,9.01846,7.53928,7.42585,9.22876
har_S1_R_noIPTG_r3,13.8293,13.6139,10.3149,10.5631,9.88992,11.5515,10.2617,7.59701,8.60049,8.61042,8.08473,8.6034,8.89588,7.67123,7.41856,9.12562
har_S1_R_IPTG_r1,12.5137,13.3073,8.94579,10.7655,8.61473,10.1761,9.34466,8.0147,8.22733,9.70389,8.90511,8.94004,8.62903,8.46654,7.41388,8.12054
har_S1_R_IPTG_r2,12.5043,13.4252,8.71773,10.3706,8.44467,9.76914,8.99312,8.09773,8.48343,9.64694,8.60315,8.87163,8.64983,8.26894,7.86526,8.30274
har_S1_R_IPTG_r3,12.3998,13.2989,8.51352,10.0767,8.05149,9.41589,8.89043,8.16653,8.34652,9.67756,8.58787,8.77393,8.6559,8.13479,7.56929,8.18248
har_S4_noIPTG_r1,13.0682,13.4308,8.64212,11.5696,10.2139,11.8228,10.6342,7.4765,8.89309,8.79945,8.52033,8.96333,8.82777,8.12515,7.77196,8.49053
har_S4_noIPTG_r2,12.883,13.4591,8.75509,11.5977,9.86843,11.8022,10.3277,7.48071,8.73814,8.47076,8.60199,9.17994,8.67065,8.10499,7.83067,8.39298
har_S4_noIPTG_r3,13.0517,13.3714,8.69994,11.3133,9.89861,11.5402,10.3786,7.63524,8.68978,8.78084,8.5764,9.07497,8.85425,8.11076,7.81976,8.39572
har_S4_IPTG_r1,12.4985,13.196,8.10211,10.9145,9.18388,10.8648,9.98215,7.99371,8.47057,8.98361,8.49924,8.46731,8.71297,7.73452,7.75176,8.08019
har_S4_IPTG_r2,12.3851,13.1885,8.44061,11.0101,9.46646,11.1295,10.0762,8.34275,8.68176,8.98232,8.52303,8.57889,8.73633,7.93166,8.01563,7.88606
har_S4_IPTG_r3,12.6006,13.3414,8.28852,11.1973,9.31369,11.0683,10.0666,8.21784,8.20934,8.86086,8.61233,8.59694,8.83381,7.83294,8.01584,7.98276
har_S4_R_noIPTG_r1,13.6654,13.4765,8.74357,10.8332,8.64911,10.1046,9.4182,8.39987,8.94001,9.62388,8.42178,8.49258,8.48756,8.20853,7.68042,8.30082
har_S4_R_noIPTG_r2,13.6115,13.4286,8.92543,10.8876,8.71599,10.2913,9.3662,8.50896,8.50817,9.47012,8.46956,8.5271,8.42222,8.22805,7.5115,8.40375
har_S4_R_noIPTG_r3,13.5013,13.4393,8.75314,10.9767,8.41308,10.342,9.63879,8.60177,8.9024,9.91033,8.62953,8.69916,8.29179,8.47413,7.9521,8.35794
har_S4_R_IPTG_r1,12.5702,13.1191,8.97346,10.1687,8.06025,9.44287,8.94571,8.77129,8.92884,9.53102,8.73985,8.94586,8.78033,8.37096,7.69186,8.24748
har_S4_R_IPTG_r2,12.7628,13.3228,9.18701,10.1635,7.97074,9.58978,8.80065,8.39191,7.90481,9.64226,8.95023,9.34846,9.17085,8.14116,7.45809,8.54244
har_S4_R_IPTG_r3,12.7273,13.295,8.98963,10.4085,8.3478,9.94893,8.64157,8.41549,9.02652,9.39263,8.73001,9.09611,8.85145,8.14346,7.56271,8.28482
cybr_KNO_N_r1,11.1417,11.6777,9.23886,10.475,10.9185,12.3909,11.4193,8.52275,8.6051,8.44257,8.19234,8.41365,9.90185,7.303,7.40026,9.11527
cybr_KNO_N_r2,10.7804,11.4978,8.86583,10.308,11.2523,12.8358,11.6456,8.48709,8.5645,8.43435,7.78603,8.22781,9.72604,7.34076,7.71498,8.97776
cybr_N_r1,10.8489,11.2186,8.85336,10.8457,10.8564,12.3552,11.4365,8.27039,8.52021,8.40183,7.84883,8.1846,9.92913,7.3615,7.36391,8.98115
cybr_N_r2,10.6497,10.9928,8.75046,10.7789,11.0144,12.5606,11.4582,8.23577,8.52952,8.38814,8.03151,8.24422,9.9055,7.38724,7.51897,8.9679
cybr_N_log_r1,10.1754,10.9379,8.11854,11.9935,11.3465,12.6309,11.3084,8.13571,8.52631,8.65775,8.22198,8.34876,9.1364,7.71702,8.12771,8.45829
cybr_N_log_r2,10.1247,10.9277,7.96787,12.0643,11.3453,12.6298,11.1388,8.10594,8.65606,8.67735,8.1836,8.21258,9.34283,7.82427,8.23744,8.24588
cybr_N_stat_r1,10.5749,11.6607,8.11861,12.2869,9.9635,11.8946,10.1478,8.1421,8.85163,8.8243,8.29925,8.55004,9.00888,8.42436,8.568,8.65261
cybr_N_stat_r2,10.5188,11.6522,7.88896,12.3683,10.1798,12.1306,10.3107,7.94009,8.77383,8.59034,8.15229,8.52635,9.03545,8.22503,8.53498,8.52793
cybr_O_r1,10.6644,10.6161,8.53007,11.0807,11.286,12.7208,11.7331,8.88484,8.68136,8.37556,8.01463,8.70595,9.90272,7.39527,7.41427,8.7862
cybr_O_r2,10.7715,10.6169,8.63772,11.0733,11.2247,12.5968,11.7795,8.68909,8.43363,8.37741,8.26866,8.80482,9.70829,7.24118,7.41996,8.84992
cybr_O_log_r1,11.2113,11.2426,8.48081,11.8714,11.2405,12.6677,11.4322,8.26572,8.80492,8.60566,8.39493,8.57858,9.40224,7.68594,7.7221,8.15784
cybr_O_log_r2,11.3946,11.14,8.41505,11.7041,11.3848,12.6381,11.303,8.20252,8.56581,8.70162,8.30564,8.69072,9.41648,7.38191,7.51799,8.2998
cybr_O_stat_r1,11.5612,12.2563,8.08662,11.4424,9.89933,11.1482,9.72915,8.24899,9.1856,9.52447,8.6504,8.87761,9.08109,8.1474,8.10409,8.77556
cybr_O_stat_r2,12.269,12.6761,8.30367,11.6316,9.78876,11.096,9.97626,7.71137,8.63788,9.32199,8.69991,9.03828,9.08989,7.586,7.70409,8.52707
ik_L2_T2.5_r1,7.5102,7.74562,7.87803,12.0496,11.4867,12.5735,11.9765,9.09402,8.35561,8.55133,7.96277,7.9181,9.41675,7.73878,8.21222,9.17772
ik_L2_T3_r1,7.36031,7.75181,7.84944,12.0501,11.6391,12.7213,11.9287,9.18787,7.88886,8.40836,8.10822,8.23334,9.57454,7.79618,8.38707,9.10319
ik_L2_T3.5_r1,7.38832,7.70732,7.69,12.0586,11.6945,12.6703,12.2101,9.27153,8.41735,8.37153,7.83617,8.20783,9.28734,7.6413,8.26088,9.02682
ik_L2_T4_r1,7.77105,8.01623,7.90978,12.352,11.6081,12.598,11.8765,8.59935,8.56037,8.48453,8.01593,8.3509,9.10491,7.55871,8.1081,8.96826
ik_L2_T4.5_r1,7.56171,8.29929,7.81254,12.3434,11.6825,12.5718,11.9808,8.04712,8.00671,8.48825,8.1103,8.31625,9.42412,7.86546,8.75441,8.98166
ik_L2_T5_r1,7.49668,8.4392,8.20309,11.765,10.9863,11.7572,11.2099,7.69399,8.33434,8.77693,8.1334,8.44788,8.65253,8.41534,8.66457,9.32193
ik_L2_T5.5_r1,7.78699,9.121,7.65018,12.059,11.0654,11.9794,11.2712,7.75044,8.43317,8.53394,8.03796,8.4023,8.94347,8.66211,9.19684,9.51711
ik_L2_T6_r1,8.31105,9.54293,7.84647,12.0737,10.5559,11.6674,10.8009,8.06414,8.59043,8.58188,8.01168,8.54583,8.87772,8.70183,9.08814,9.37526
ik_L2_T8_r1,11.9503,12.2338,9.17399,12.0318,11.0103,11.6694,11.452,8.1214,9.31977,9.32572,8.94726,9.88168,9.37922,8.49689,8.55656,9.64141
ik_H2_T2.5_r1,7.50307,7.89265,7.71594,12.013,11.5555,12.4998,12.1281,9.05423,8.66761,8.59122,8.07972,8.05748,9.45136,7.83634,8.0393,9.16019
ik_H2_T3_r1,7.40248,7.90665,8.14488,12.1042,11.6128,12.4716,12.034,8.73098,8.62791,8.74123,8.24009,8.39452,9.45516,7.8482,7.79264,8.99894
ik_H2_T3.5_r1,7.32036,7.86284,7.81587,12.147,11.6939,12.5657,12.0368,8.74314,8.58635,8.50725,8.12633,8.11143,9.373,7.9103,8.61224,8.90847
ik_H2_T4_r1,7.51217,8.60961,7.77903,12.0186,11.5686,12.4391,11.5461,7.93486,8.52579,8.34039,7.96715,8.39731,9.09967,8.52184,9.03323,9.29735
ik_H2_T4.5_r1,7.72917,8.76015,7.72238,12.1282,11.0295,11.9928,11.4839,7.77364,8.41679,8.54578,8.05506,8.38514,9.07184,8.49774,8.83724,9.28428
ik_H2_T5_r1,8.40556,9.53734,7.64296,12.4766,10.5141,11.7236,10.7237,8.01552,8.397,8.36758,7.97962,8.51949,8.91122,8.98783,9.18619,9.51923
ik_H2_T5.5_r1,8.09326,9.53734,7.60144,12.2677,10.5838,11.6058,10.9624,7.82183,8.53586,8.4942,7.92664,8.46775,8.88588,8.60038,9.02298,9.25566
ik_H2_T6_r1,8.1713,9.15992,7.91479,12.0665,9.92635,11.2197,10.3346,8.03488,8.54425,8.46542,8.01235,8.51668,8.95631,8.79816,9.13006,8.98082
ik_H2_T8_r1,7.68266,8.65904,7.92036,11.0543,9.28189,10.4461,9.83844,8.00296,8.81974,8.9824,8.81588,9.12496,9.07705,8.47816,8.35669,8.55199
ph5_r1,10.2964,10.1268,8.66413,11.4274,10.9879,12.2647,11.6016,7.99793,8.55196,8.2767,8.26816,8.68454,9.91395,7.59804,7.65768,9.0176
ph5_r2,10.4816,10.0664,8.66662,11.5247,11.3768,12.3093,11.8044,8.36799,8.51908,8.18289,8.13574,8.62177,9.9397,7.31578,7.76023,9.10012
ph5_r3,10.6542,10.497,8.47295,11.8099,11.3892,12.4424,11.67,8.01997,8.45565,8.25361,8.19749,8.58003,9.73994,7.7354,8.05402,9.13798
ph5_r4,10.4323,10.2602,8.86093,11.7462,11.6593,12.856,12.0602,8.76041,8.51822,8.35805,8.08804,8.62431,10.1239,7.68211,7.82709,9.62714
ph5_r5,10.3468,10.0594,8.77058,11.3427,11.6309,12.63,11.8897,8.33713,8.74963,8.52489,8.28837,8.58007,9.91189,7.5545,7.73443,9.35475
ph7_r1,9.58331,9.85627,8.36142,11.0417,11.411,12.6779,11.688,8.40295,8.90011,8.8746,8.67136,8.95597,9.48487,7.93822,8.17159,8.84265
ph7_r2,9.89228,9.81364,8.35584,10.7414,11.8574,12.8338,11.8489,8.42091,8.55047,8.53391,8.32685,8.52743,9.45091,7.14575,7.64233,9.21344
ph7_r3,9.77754,9.77722,8.3902,11.1369,11.6647,12.8903,11.7676,8.58282,8.86738,8.6352,8.33852,8.57609,9.51017,7.86453,8.14328,9.09257
ph7_r4,9.38111,9.44845,8.20171,10.8116,11.6131,12.6991,11.8591,8.60758,8.83919,8.73274,8.21987,8.46244,9.30333,7.8226,7.97529,8.98608
ph7_r5,10.1375,10.1628,8.40036,11.0611,11.3977,12.5377,11.6218,8.33366,8.80032,8.56805,8.38519,8.78814,9.29655,7.8671,8.18385,8.63939
ph8.7_r1,10.5964,9.8105,8.20861,11.5364,11.6258,12.9303,11.7493,8.38181,8.24564,8.30808,7.90033,8.61646,9.87461,7.0704,7.2383,9.11365
ph8.7_r2,10.3069,9.72534,8.19458,11.3959,11.5641,12.965,11.8775,8.54505,8.49148,8.37731,8.09964,8.68915,10.1523,7.16843,7.23304,9.07791
ph8.7_r3,9.63918,10.1108,8.56445,10.4499,11.589,12.7424,11.7665,8.69587,8.80675,8.37912,8.29018,9.03296,9.65084,7.47761,7.65691,9.34903
ph8.7_r4,10.0113,10.0354,8.2349,11.2537,11.6211,12.822,11.5612,8.22789,8.8043,8.53945,8.46123,8.83683,9.7227,7.69123,8.07211,9.02036
ph8.7_r5,10.3331,9.71702,7.87867,11.7472,11.4915,12.7501,11.4758,8.13747,8.36924,8.41705,8.09431,8.57748,9.71365,7.5651,7.95947,8.7547
ccdB_chelator_W1872_t0_r1,9.75564,10.0958,7.97894,11.9574,11.443,12.5162,11.477,8.66735,8.27654,8.66947,8.37528,9.0115,9.33483,7.12486,7.79257,9.04036
ccdB_chelator_W1872_t30_r1,9.60182,9.99876,7.95579,12.0043,11.681,12.4786,11.7709,8.63586,8.64736,8.6861,8.33356,9.2413,9.18742,7.25123,7.73865,9.01067
ccdB_chelator_W1872_t60_r1,8.6141,9.07353,7.77384,12.5958,11.9191,12.7869,12.1222,8.47433,8.53555,8.54791,8.13288,8.49656,9.00527,7.4699,7.70283,8.86111
ccdB_chelator_W1872_t120_r1,8.70553,9.51302,8.11105,12.4299,12.0255,12.7697,12.1923,8.2086,8.56715,8.6618,8.14052,8.26851,8.65589,7.64372,7.90638,9.14031
MG1063_uninduced_t0_r1,10.3483,10.4571,7.94829,11.4438,11.3246,12.2956,11.4266,8.55349,8.55144,8.7156,8.35281,8.75395,9.40965,7.15577,7.6774,9.02829
MG1063_uninduced_t30_r1,10.6842,10.4159,8.04583,11.7667,11.2492,12.2456,11.1887,8.51254,8.49657,8.54803,8.16817,8.5799,9.27329,7.17331,7.55458,9.27802
MG1063_uninduced_t60_r1,10.2981,10.2622,7.93591,12.3734,11.0297,12.2424,11.0233,8.11504,8.58132,8.72679,8.2416,8.89616,9.52703,7.4438,7.99321,8.98608
MG1063_uninduced_t120_r1,10.1536,10.1432,7.86879,12.1815,11.4148,12.3844,11.3931,8.83989,8.33236,8.45038,8.0465,8.31498,9.1038,7.37581,8.04138,9.03536
ccdB_chelator_MG1063_t0_r1,10.5178,10.5775,7.9271,11.3622,11.3089,12.2479,11.3351,8.58977,8.50029,8.76248,8.33611,8.71713,9.30979,7.20133,7.76478,9.14139
ccdB_chelator_MG1063_t30_r1,10.7476,11.2743,8.66252,11.8366,11.0809,12.0949,11.1613,8.14828,8.63707,8.64427,8.41659,9.07475,9.17446,7.48322,7.85483,9.08121
ccdB_chelator_MG1063_t60_r1,10.9983,11.0829,8.43246,11.7583,10.8498,11.8396,10.8394,7.84005,8.48299,8.64817,7.99545,8.56083,9.19029,7.76809,8.18007,9.02536
ccdB_chelator_MG1063_t120_r1,10.7672,10.879,8.2998,11.6375,10.3866,11.5629,10.3022,7.66503,8.49901,8.87624,8.14828,8.62628,9.15827,7.65743,8.03937,9.04438
norfloxacin_MG1063_t0_r1,10.2196,10.4358,7.91002,11.4211,11.2445,12.2539,11.4972,8.6354,8.62836,8.83872,8.13029,8.54609,9.32368,7.45883,7.7624,9.07389
norfloxacin_MG1063_t30_r1,9.93127,10.1807,7.95726,11.9311,11.3117,12.4515,11.56,8.18268,8.46297,8.57071,8.09776,8.64386,9.41725,7.26908,7.78927,8.91912
norfloxacin_MG1063_t60_r1,9.27052,9.57759,7.89496,12.2106,11.5979,12.6576,11.7405,8.2417,8.50375,8.7484,7.93694,6.7328,9.13177,7.46687,7.60185,8.78965
norfloxacin_MG1063_t120_r1,9.45179,9.57751,7.78472,11.928,12.0586,13.0214,12.1108,8.37995,8.7135,8.83296,8.38459,8.51536,8.87701,7.4855,7.33318,8.65359
norfloxacin_chelator_MG1063_t0_r1,10.4913,10.7553,8.43937,11.4356,11.132,12.0507,11.3509,8.24822,8.50619,8.55167,8.14556,8.56976,9.15264,7.37726,7.92804,8.97995
norfloxacin_chelator_MG1063_t30_r1,10.6722,11.1883,8.65141,11.8543,11.1669,12.1717,11.3379,7.95028,8.4267,8.56955,8.32177,9.24037,9.32598,7.61105,8.05145,9.19393
norfloxacin_chelator_MG1063_t60_r1,10.6455,11.0104,8.49955,11.7611,11.0698,12.0042,11.113,7.72905,8.59543,8.73694,7.97603,8.5528,9.16194,7.71666,8.15361,9.03749
norfloxacin_chelator_MG1063_t120_r1,10.4537,11.0067,8.36688,11.5292,10.759,11.8483,10.8009,7.50588,8.44202,8.63155,8.12626,8.72221,8.93442,7.87305,8.12187,9.05651
BW25113_uninduced_t0_r1,11.4308,12.2415,9.12953,12.7565,11.3031,12.6821,11.4019,8.21566,8.63349,8.7116,9.64719,10.3343,9.09628,7.5217,8.56118,9.32531
BW25113_uninduced_t30_r1,11.3639,11.3372,8.46047,12.375,11.407,12.6237,11.4215,7.87604,8.6076,8.8322,8.82903,9.56022,9.16599,7.78066,9.37169,8.738
BW25113_uninduced_t60_r1,10.1858,10.9894,7.97007,12.3506,11.0431,12.4722,10.7865,7.89137,8.19818,8.67827,8.34242,9.70807,9.28653,8.60078,9.56165,8.85864
BW25113_uninduced_t120_r1,13.5833,13.6015,9.29716,11.1271,10.5714,12.1883,10.5835,8.61313,9.6264,9.60627,9.4454,10.8178,8.70878,7.83,9.44189,8.51979
BW25113_uninduced_t180_r1,13.1431,13.4463,9.07483,11.8495,10.6909,12.1007,10.6553,8.30035,9.55159,9.25054,8.81777,10.2609,8.83366,8.27908,9.91631,8.55034
norfloxacin_BW25113_t0_r1,11.3904,11.7732,9.16945,12.7692,11.3234,12.5106,11.6279,8.02223,8.03084,8.60693,8.84939,9.71611,9.27298,7.23292,8.09593,9.26732
norfloxacin_BW25113_t30_r1,10.601,10.8299,8.18081,12.4631,11.6265,12.5961,11.7223,7.87355,8.62498,8.67521,8.41415,9.26644,9.1201,8.05996,9.03073,8.74221
norfloxacin_BW25113_t60_r1,9.51439,10.4265,7.65667,12.2414,11.9189,12.8473,11.8956,7.46059,8.39252,8.48104,7.95566,9.10202,8.89013,8.02004,8.88575,8.62482
norfloxacin_BW25113_t120_r1,13.1922,13.5937,8.77405,11.606,11.7636,12.6025,11.5937,8.2484,9.35907,9.03644,9.05975,9.7855,8.81634,8.01768,9.3906,8.72469
norfloxacin_BW25113_t180_r1,11.5595,12.2164,8.11296,11.5439,11.386,12.2189,11.5654,8.43008,9.08005,9.0858,8.78817,9.32481,8.85233,7.93066,8.37464,9.18805
ccdB_BW25113_t0_r1,10.0825,10.6605,8.27447,12.5832,11.6146,12.6535,11.9644,8.98597,8.56638,8.36637,8.17479,8.73024,9.11259,7.59126,8.41931,8.99823
ccdB_BW25113_t30_r1,11.4688,12.0136,8.72463,12.4836,11.2114,12.3407,11.4677,8.80314,8.80927,9.18469,9.76311,10.2068,8.99687,7.4236,8.4568,8.75484
ccdB_BW25113_t60_r1,11.0167,11.614,8.27731,12.3974,11.3877,12.4719,11.5744,8.91327,9.08816,8.72239,9.01216,9.57465,9.21843,7.78645,8.6709,8.94598
ccdB_BW25113_t120_r1,11.861,12.61,8.67259,11.9429,10.6863,11.9912,10.982,8.79838,9.24012,8.97374,9.25709,9.93547,8.88855,7.84111,8.85532,9.18672
ccdB_BW25113_t180_r1,12.1775,12.7508,8.76036,12.1174,10.6404,11.8201,10.8739,8.3612,8.98813,8.90753,8.73706,9.12206,8.71354,7.46629,8.6325,9.21234
BW25113recA_uninduced_t0_r1,9.33868,9.38777,7.81351,11.9006,11.0755,12.6285,11.3241,8.41512,8.37991,8.57739,8.73239,9.40731,9.67531,7.16337,7.46809,8.66955
BW25113recA_uninduced_t30_r1,10.532,10.5475,8.33748,12.5983,10.9926,12.4242,11.1623,8.05835,8.66309,8.52683,8.51709,9.16572,9.27582,7.55292,8.1629,8.66
BW25113recA_uninduced_t60_r1,10.9122,10.6275,8.21749,12.2144,11.1647,12.534,11.1584,8.08729,8.62503,8.6781,8.82478,9.97843,9.25154,7.70963,8.54404,8.44905
BW25113recA_uninduced_t120_r1,12.2801,12.02,8.51736,12.1227,10.858,12.1514,10.6943,8.82855,9.23936,9.32142,9.03343,9.60102,9.40071,7.80731,8.79648,8.75247
BW25113recA_uninduced_t180_r1,14.0745,13.813,9.92819,12.0581,10.6806,12.534,10.7829,8.91877,9.1241,9.30011,9.06075,9.86954,8.83193,7.8968,8.42708,8.56605
ccdB_BW25113recA_t0_r1,9.29053,9.64822,7.69194,12.3679,11.3052,12.5366,11.2597,9.06039,8.78902,8.72775,9.28137,9.37275,9.34816,7.24532,7.88278,8.82585
ccdB_BW25113recA_t30_r1,9.46792,9.72465,7.74777,12.5332,11.559,12.5087,11.6054,8.69189,8.53265,8.28048,8.24077,8.5596,9.18192,7.37958,7.80387,8.84118
ccdB_BW25113recA_t60_r1,10.4596,10.6818,8.15407,12.3922,11.0483,12.1995,11.0099,8.78382,8.92757,8.92544,9.24827,9.54472,9.05805,7.60807,8.32998,8.63268
ccdB_BW25113recA_t120_r1,10.7662,10.5761,8.17949,12.4345,11.4749,12.5467,11.4782,8.81878,8.85277,8.84427,8.78114,9.15978,9.28646,7.35886,7.77366,8.6484
ccdB_BW25113recA_t180_r1,10.6796,10.6208,8.17781,12.5269,11.3298,12.4288,11.3665,8.66847,8.8481,8.81581,8.902,9.15064,9.22541,7.40007,7.76392,8.66054
norfloxacin_BW25113recA_t0_r1,10.8787,10.8413,8.35639,12.1098,11.1817,12.4464,11.3061,8.79698,8.80143,8.66173,9.05459,9.14196,9.1986,7.333,8.00057,8.74858
norfloxacin_BW25113recA_t30_r1,10.2984,10.4362,8.10866,12.215,11.342,12.4838,11.415,8.88054,8.92283,8.86105,8.71778,9.19528,9.16689,7.4312,8.00366,8.8153
norfloxacin_BW25113recA_t60_r1,9.89867,10.1972,7.81628,12.5231,11.7099,12.7267,11.7081,8.71336,8.77032,8.63867,8.49506,9.16607,8.93549,7.36631,8.12778,8.4777
norfloxacin_BW25113recA_t120_r1,10.1878,10.4441,7.66341,12.0429,12.3037,13.1529,12.2689,9.02824,8.81634,8.78101,8.59747,8.76291,8.93888,7.79943,7.91654,8.64482
norfloxacin_BW25113recA_t180_r1,10.7578,11.4817,8.21033,11.1365,11.6551,12.5741,11.6315,8.76714,8.99478,9.23939,9.1181,9.39593,9.12312,7.69201,7.78001,9.36044
ccdB_MG1655_t0_r1,8.28976,9.23514,8.15559,11.9199,11.6441,12.7201,12.1052,9.03608,8.44199,8.7092,8.097,8.52102,9.1252,8.04759,8.27766,9.08014
ccdB_MG1655_t0_r2,8.25678,9.12182,7.90464,11.9387,11.6352,12.7094,11.9442,9.15461,8.7639,8.51879,8.09787,8.33411,9.27818,7.89453,8.40306,9.0602
ccdB_MG1655_t30_r1,8.78633,9.79978,7.92341,12.1147,11.4124,12.6111,11.5487,8.56932,8.5519,8.93477,8.87737,9.27408,9.31978,7.74699,8.2745,8.71004
ccdB_MG1655_t30_r2,8.17309,8.99862,7.81784,11.9564,11.5202,12.5346,11.8518,8.69559,8.53611,8.49357,8.10098,8.56844,9.15136,7.72335,8.28112,8.63498
ccdB_MG1655_t60_r1,8.06294,9.15836,7.82815,12.1487,11.904,12.5761,12.2662,8.55709,8.80571,8.74417,8.26191,8.34626,8.97816,7.91268,8.21903,8.81201
ccdB_MG1655_t60_r2,8.33926,9.24745,8.06779,12.1512,11.9587,12.7283,12.1172,8.49295,8.47682,8.75827,8.14856,8.45368,8.61384,7.87209,7.82436,9.0259
ccdB_MG1655_t90_r1,8.87197,10.0182,8.1586,12.4993,11.5828,12.4731,11.9842,8.18392,8.73084,8.83372,8.13408,8.08601,8.71641,8.13074,8.3021,9.19631
ccdB_MG1655_t90_r2,8.55364,9.88855,8.12264,12.24,11.3701,12.3789,11.6676,8.17717,8.43709,8.95666,8.52205,8.24147,8.46393,7.95502,8.34852,9.03413
lacZ_MG1655_t0_r1,8.2672,8.88787,8.12089,11.8985,11.7894,12.7386,12.1192,8.92457,8.87696,8.67498,8.14482,8.44368,9.29105,7.86946,8.0358,9.06175
lacZ_MG1655_t30_r1,9.22313,9.74784,8.33909,11.0329,11.0881,12.3806,11.5866,8.48579,8.60089,8.77864,8.37973,8.92596,8.80209,8.00989,8.02653,8.5681
lacZ_MG1655_t60_r1,9.0942,10.0814,8.29914,11.6146,11.5098,12.6636,11.6806,8.32617,8.18784,8.83893,8.41289,8.74011,9.09651,8.25677,8.39352,8.86145
lacZ_MG1655_t90_r1,9.76741,10.8783,8.20986,11.7996,10.8325,11.8654,11.1263,8.20662,8.47085,8.62697,8.06037,8.69272,8.9631,8.14817,8.57219,8.76935
MG1655_uninduced_t0_r1,8.43745,9.69573,8.12606,11.7722,11.4089,12.5881,11.8869,8.68412,8.8286,8.69281,8.28672,8.57819,9.3718,8.00893,8.30963,9.07757
MG1655_uninduced_t30_r1,10.8141,11.2223,8.56886,10.5722,11.2583,12.4554,11.6804,8.66811,8.91623,8.68925,8.80798,9.57313,9.21263,7.89114,8.20696,8.64978
MG1655_uninduced_t60_r1,11.2426,11.943,8.93629,11.3104,11.0628,12.2483,11.524,8.07626,8.74508,9.11188,8.48265,9.16668,9.1136,8.04512,7.84866,8.795
MG1655_uninduced_t120_r1,12.8986,13.2769,9.20492,11.2539,10.5387,11.9127,10.7646,8.63943,9.43659,9.07392,8.57379,9.66151,8.68085,8.17422,8.40475,8.23247
MG1063_uninduced_t180_r1,12.2724,12.6515,8.8839,12.014,8.62626,10.5644,9.55691,9.00603,9.15181,9.99662,9.24783,10.3637,8.57803,8.3253,8.36168,8.83464
MG1655_ampicillin_t30_r1,10.6667,11.411,8.68789,10.6274,11.0104,12.1517,11.3366,8.31531,9.12028,8.99698,8.79217,9.53553,9.06248,8.07434,8.24339,8.49611
MG1655_ampicillin_t60_r1,10.9387,11.949,8.83213,12.0894,11.234,12.5148,11.5044,8.1847,8.631,9.08441,8.90145,9.28445,8.91339,7.62631,7.98399,8.92739
MG1655_ampicillin_t120_r1,10.515,11.2783,8.35378,11.7694,10.9824,12.2355,11.2481,8.54341,8.69405,8.71618,8.34138,9.09736,9.16193,7.79639,8.50317,9.08735
MG1655_kanamycin_t30_r1,11.0523,12.0554,8.85067,10.9315,10.6366,11.8019,10.7768,8.77185,9.19035,9.14535,9.81328,10.1459,9.15994,8.03682,8.52355,8.55149
MG1655_kanamycin_t60_r1,9.83988,10.8484,8.16339,11.8683,11.0533,11.7084,11.3675,8.92229,9.29587,9.03011,8.98973,9.01114,9.25515,8.13875,9.23215,9.20064
MG1655_kanamycin_t120_r1,8.01858,9.59306,7.90872,10.9834,11.1018,11.7286,11.8022,9.49071,9.39772,8.62819,8.67941,9.22923,8.99679,8.60485,9.63302,9.59476
MG1655_norfloxacin_t30_r1,8.05004,9.4266,8.36709,11.5365,10.386,10.9586,10.8895,8.44619,8.34269,8.82202,8.45392,8.62521,8.49645,8.09706,8.24802,8.60761
MG1655_norfloxacin_t60_r1,8.08316,9.19272,8.29278,11.4858,9.92088,10.577,10.3984,8.45531,8.35556,9.21359,8.64266,9.18888,8.33508,8.47405,8.39246,8.81197
MG1655_norfloxacin_t120_r1,7.96357,9.19945,8.05962,11.4938,9.96013,10.625,10.323,8.69812,8.31015,9.03485,8.40652,9.07866,8.67576,8.30863,8.24353,8.62925
MG1655_spectinomycin_t30_r1,7.69135,8.85153,7.6225,11.5512,11.2486,12.0794,11.9756,9.72014,9.17802,8.62674,8.31355,9.11881,8.94333,8.23468,9.24579,9.75844
MG1655_spectinomycin_t60_r1,7.77844,8.83209,7.50882,11.5446,10.7683,11.7403,11.6146,9.92262,9.57471,8.60353,8.60097,9.72152,8.84568,9.06866,9.79161,9.3197
MG1655_spectinomycin_t120_r1,7.65316,9.31836,7.62766,11.8383,10.8947,11.5885,11.6252,9.28203,9.178,8.77667,8.76949,9.80383,9.28216,8.77023,9.60767,9.14774
ph5.7_anaerobic_r1,9.44083,10.6195,7.87601,10.7501,10.7941,12.0035,10.7816,7.61227,8.40679,8.44202,8.0829,9.13761,8.92361,8.32489,9.21289,8.99819
