,acea,aceb,acek,fabb,fabd,fabg,fabh,fadd,fade,fadh,fadi,fadj,fadr,hipa,hipb,iclr
yoeB_U_N0075_r2,7.76596,8.28588,7.38378,11.5793,10.6878,11.5293,11.0087,8.25043,8.48312,8.15622,7.69021,8.25265,8.8184,7.91908,8.85271,9.84928
yoeB_U_N0075_r3,7.515,8.43596,7.97117,11.4459,10.4413,11.4044,11.1823,8.24767,8.67119,8.37576,7.99525,8.68719,8.42115,7.99113,9.10744,10.072
nrdA_U_N0075_r1,8.49844,9.49662,7.41829,11.765,11.1655,12.274,11.2427,8.27978,8.28084,8.13152,7.98255,8.475,8.99297,7.76591,8.83473,9.51221
nrdA_U_N0075_r2,8.51286,9.57899,7.81364,11.6599,10.6365,11.952,10.6726,7.85729,8.28987,8.35215,7.85086,8.35223,8.78263,7.46191,8.46525,9.40144
nrdA_U_N0075_r3,9.09697,10.0563,7.79861,11.5003,10.7715,12.0322,10.8837,7.7745,8.31047,8.33561,8.04325,8.50716,8.90257,7.6391,8.53035,9.45552
nrdB_U_N0075_r1,8.74236,9.74204,7.90503,11.9148,11.105,12.2482,11.0955,8.30998,8.55547,8.27849,7.95126,8.37554,9.07329,7.83711,8.72401,9.64873
nrdB_U_N0075_r2,8.84174,9.84012,7.71733,11.7461,10.8164,12.0884,10.814,8.01232,8.13774,8.25527,7.87232,8.4552,8.90366,7.78479,8.53183,9.75282
nupC_U_N0075_r1,9.00208,9.95858,8.34929,11.5929,10.607,12.0054,10.7792,7.60867,8.21861,8.50083,7.96411,8.6287,8.69593,7.46431,8.31557,9.38995
nupC_U_N0075_r2,8.33797,9.27532,7.82076,11.4624,10.7706,12.0346,11.0197,7.74795,8.37473,8.50697,7.85224,8.29001,8.81985,7.85821,8.49545,9.31176
nupC_U_N0075_r3,9.31482,10.5711,8.23248,11.6854,10.7331,12.2544,10.9219,7.79126,8.48405,8.31327,8.00227,8.78502,8.80338,7.67307,8.56192,9.28295
pyrC_U_N0075_r1,9.14622,9.94955,8.58504,11.3553,10.2483,11.8625,10.4088,7.4184,8.34744,8.64588,7.85554,8.46311,7.87205,6.90689,7.93518,9.48209
pyrC_U_N0075_r2,8.50758,9.33106,8.10303,11.4233,10.5274,11.958,10.6091,7.45849,8.56549,8.53133,7.78868,8.37696,8.39796,7.32404,8.13895,9.31379
pyrC_U_N0075_r3,9.26753,10.4594,8.66322,11.34,10.2551,11.803,10.4716,7.44783,8.39308,8.51131,7.86214,8.50513,8.12717,7.21558,8.12981,9.28463
rimI_U_N0075_r1,8.47165,9.35047,8.25478,11.5673,10.6621,12.0417,10.824,7.91823,8.51893,8.5136,7.84468,8.38009,8.57137,7.45567,8.17112,9.35287
rimI_U_N0075_r2,8.67793,9.34817,8.39793,11.3823,10.4608,11.8376,10.4828,7.2715,8.38195,8.47615,7.66907,8.34447,8.09836,7.10107,7.84503,9.43883
rimI_U_N0075_r3,8.98134,9.98255,8.31015,11.6099,10.5643,12.0293,10.9373,7.66162,8.56755,8.46828,7.93396,8.7236,8.74238,7.45756,8.2557,9.413
rstB_U_N0075_r1,8.54162,9.55466,8.43855,11.6293,10.8271,12.18,11.0435,7.75805,8.71116,8.35541,7.79071,8.45145,8.62327,7.45573,8.1922,9.49544
rstB_U_N0075_r2,8.82495,9.60414,7.97643,11.5688,10.7903,11.9497,10.7826,7.98767,8.04248,8.43004,8.05121,8.63392,8.73139,7.5777,8.48505,9.5854
rstB_U_N0075_r3,8.60841,9.61925,8.18774,11.5853,10.7307,12.1347,10.9851,7.5634,8.55669,8.35228,7.92517,8.60235,8.56839,7.32816,8.16428,9.43126
ruvC_U_N0075_r1,8.52244,9.53514,7.60998,11.6207,11.0491,12.2355,11.1379,8.12342,8.41271,8.26648,7.99433,8.57158,9.08801,7.76767,8.66081,9.3561
ruvC_U_N0075_r2,8.34997,9.38098,7.89518,11.6648,10.7843,12.0346,10.888,7.87332,8.47402,8.22433,7.73303,8.30126,8.71407,7.78865,8.63406,9.33377
ruvC_U_N0075_r3,9.11073,10.2359,8.33617,11.4751,10.3486,11.8861,10.676,7.58634,8.56133,8.35968,7.79071,8.61866,8.42732,7.48419,8.31297,9.45738
